Proxy,Product,Clinic_Name,Clinic_Price,Competitor,Competitor_Price,Clinic_ID
Södra Djursjukhuset Kungens Kurva,Consultation,Södra Djursjukhuset Kungens Kurva,1775,Distriktsveterinärerna Vårsta,965.0,201
Södra Djursjukhuset Kungens Kurva,Castrate Dog (20kg),Södra Djursjukhuset Kungens Kurva,7785,Distriktsveterinärerna Vårsta,4625.0,201
Södra Djursjukhuset Kungens Kurva,Bitch Spay (20kg),Södra Djursjukhuset Kungens Kurva,12850,Distriktsveterinärerna Vårsta,8025.0,201
Södra Djursjukhuset Kungens Kurva,Dog Vaccination DHPPI,Södra Djursjukhuset Kungens Kurva,495,Distriktsveterinärerna Vårsta,575.0,201
Södra Djursjukhuset Kungens Kurva,Cat Spay,Södra Djursjukhuset Kungens Kurva,2780,Distriktsveterinärerna Vårsta,1825.0,201
Södra Djursjukhuset Kungens Kurva,Cat Castrate,Södra Djursjukhuset Kungens Kurva,1570,Distriktsveterinärerna Vårsta,975.0,201
Södra Djursjukhuset Kungens Kurva,Cat Vaccination,Södra Djursjukhuset Kungens Kurva,495,Distriktsveterinärerna Vårsta,575.0,201
Södra Djursjukhuset Kungens Kurva,X-Ray & Sedation (HD),Södra Djursjukhuset Kungens Kurva,2595,Distriktsveterinärerna Vårsta,1995.0,201
Södra Djursjukhuset Kungens Kurva,Consultation,Södra Djursjukhuset Kungens Kurva,1775,AniCura Gärdets Djurklinik,1450.0,201
Södra Djursjukhuset Kungens Kurva,Castrate Dog (20kg),Södra Djursjukhuset Kungens Kurva,7785,AniCura Gärdets Djurklinik,7330.0,201
Södra Djursjukhuset Kungens Kurva,Bitch Spay (20kg),Södra Djursjukhuset Kungens Kurva,12850,AniCura Gärdets Djurklinik,9950.0,201
Södra Djursjukhuset Kungens Kurva,Dog Vaccination DHPPI,Södra Djursjukhuset Kungens Kurva,495,AniCura Gärdets Djurklinik,550.0,201
Södra Djursjukhuset Kungens Kurva,Cat Spay,Södra Djursjukhuset Kungens Kurva,2780,AniCura Gärdets Djurklinik,2430.0,201
Södra Djursjukhuset Kungens Kurva,Cat Castrate,Södra Djursjukhuset Kungens Kurva,1570,AniCura Gärdets Djurklinik,1420.0,201
Södra Djursjukhuset Kungens Kurva,Cat Vaccination,Södra Djursjukhuset Kungens Kurva,495,AniCura Gärdets Djurklinik,550.0,201
Södra Djursjukhuset Kungens Kurva,X-Ray & Sedation (HD),Södra Djursjukhuset Kungens Kurva,2595,AniCura Gärdets Djurklinik,0.0,201
Södra Djursjukhuset Kungens Kurva,Consultation,Södra Djursjukhuset Kungens Kurva,1775,Anicura Djursjukhuset Albano,1600.0,201
Södra Djursjukhuset Kungens Kurva,Castrate Dog (20kg),Södra Djursjukhuset Kungens Kurva,7785,Anicura Djursjukhuset Albano,8290.0,201
Södra Djursjukhuset Kungens Kurva,Bitch Spay (20kg),Södra Djursjukhuset Kungens Kurva,12850,Anicura Djursjukhuset Albano,11220.0,201
Södra Djursjukhuset Kungens Kurva,Dog Vaccination DHPPI,Södra Djursjukhuset Kungens Kurva,495,Anicura Djursjukhuset Albano,700.0,201
Södra Djursjukhuset Kungens Kurva,Cat Spay,Södra Djursjukhuset Kungens Kurva,2780,Anicura Djursjukhuset Albano,0.0,201
