ID,Clinic,Cluster,City,Clinic_ID,DepartmentDescription,Group,CostCenterCode,DepartmentType,BusinessAreaManager,DepartmentManager,ChiefVeterinarian,StoreManager,ReceptionManager,StreetAddress,ZipCode,City2,NoofDaysOpen,RunDateDW,ByUser,BusinessArea
1,Djurdoktorn Västerås,Landsbygd A,Västerås,1,Evidensia Djurdoktorn Västerås,Djurdoktorn,8012,Small animals,Caroline Bouzi,susanne.lindahl@evidensia.se,asa.schon@evidensia.se,,,Köpingsvägen 40,724 60,Västerås,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
2,Eskilstuna,Landsbygd A,Eskilstuna,10,Evidensia Djurkliniken Eskilstuna,Eskilstuna,8013,Small animals,Caroline Bouzi,annika.henschen@evidensia.se,Annika.Henschen@evidensia.se,,,Bruksgatan 5,632 20,Eskilstuna,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
3,Köping,Landsbygd A,Köping,11,Evidensia Djurkliniken Köping,Köping,8014,Small animals,Caroline Bouzi,hannah.ling@evidensia.se,alaa.moosa@evidensia.se,,,Odensvivägen 4,731 34,Köping,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
4,Norrköping,Landsbygd A,Norrköping,2,Evidensia Djurkliniken Norrköping,Norrköping,8019,Small animals,Caroline Bouzi,camilla.thunstrom@evidensia.se,Mans.Roken@evidensia.se,,,Linnégatan 38,602 23,Norrköping,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
5,Västerås (djurkliniken),Landsbygd A,Västerås,8,Evidensia Djurkliniken Västerås,Västerås,8015,Small animals,Caroline Bouzi,eva.lund@evidensia.se,Sofia.Hanas@evidensia.se,,,Jonasborgsvägen 26,723 41,Västerås,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
6,Nyköping,Landsbygd A,Nyköping,208,Evidensia Djurkliniken Nyköping,Nyköping,8006,Small animals,Caroline Bouzi,camilla.thunstrom@evidensia.se,name.lastname@evidensia.se,,,Spinnarvägen 3,611 37,Nyköping,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Mitt
7,Gefle,Landsbygd A,Gävle,6,Evidensia Djurkliniken Gefle,Gefle,8004,Small animals,Mats Wänlund,Annelie Nilsson,katharina.stenke@evidensia.se,,,Norra Gatan 1,803 21,Gävle,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
8,Sandviken,Landsbygd A,Sandviken,7,Evidensia Djurkliniken Sandviken,Sandviken,8008,Small animals,Mats Wänlund,Annelie Nilsson,maria.ericsson@evidensia.se,,,Länsmansvägen 5,811 35,Sandviken,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
9,Björkstadens,Landsbygd A,Björkstadens,8111,Björkstadens Djurklinik Evidensia,Umeå Björkstaden,8111,Small Animals,Mats Wänlund,Ann-Louise Backman,name.lastname@evidensia.se,,,N/D,N/D,N/D,,45841.3323721875,chuan.hong@ivcevidensia.com,Nord
10,Kullabygden,Landsbygd A,Kullabygden,111,Kullabygdens Smådjursklinik Evidensia,Kullabygden,8063,Small animals,Tomas Nanasi,eva.rehn@evidensia.se,name.lastname@evidensia.se,,,Storgatan 58 D,263 31,Höganäs,6.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
11,Limhamn,Landsbygd A,Limhamn,113,Veterinärkliniken Limhamn Evidensia,Limhamn,8067,Small animals,Tomas Nanasi,alexandra.laurell@evidensia.se,name.lastname@evidensia.se,,,Ringugnsgatan 16,216 16,Limhamn,5.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
12,Malmö (veterinärkliniken),Landsbygd A,Malmö,112,Veterinärkliniken Malmö Evidensia,Malmö (Veterinärkliniken),8066,Small animals,Tomas Nanasi,katarina.norrman@evidensia.se,name.lastname@evidensia.se,,,Nummertolvsvägen 4,212 36,Malmö,0.0,45841.3323721875,chuan.hong@ivcevidensia.com,Syd
