Clinic,Clinic_ID,_2024_Total_Population,Area_of_catchment,Population_density,_2024_Total_Population_Age_0_14,_2024_Total_Population_Age_15_29,_2024_Total_Population_Age_30_44,_2024_Total_Population_Age_45_59,_2024_Total_Population_Age_60_,_2024_Purchasing_Power_Per_Capita
Djurdoktorn Västerås,1,143743,175.48327051041,819,24564,26882,29523,26889,35868,282922.21
Eskilstuna,10,95099,185.645534039327,512,16974,17562,18784,17622,24156,248200.01
Köping,11,28874,209.623480174658,138,4924,4681,5236,5294,8735,250875.5
Norrköping,2,119273,164.891988277195,723,20130,23650,24339,21775,29380,260931.43
Västerås (djurkliniken),8,144184,209.722617039691,687,24584,26930,29684,26851,36118,282118.81
Nyköping,208,49261,125.852496499252,391,8559,8243,9230,8760,14468,271570.63
Gefle,6,91974,136.252321812328,675,15361,17070,18286,17224,24017,274181.56
Sandviken,7,32254,71.7770299179373,449,5394,5228,5981,6268,9384,264533.53
Björkstadens,8111,107053,171.3862749485,625,16455,26815,23509,17449,22802,270760.37
Kullabygden,111,33856,161.822675311077,209,5853,4562,5559,7135,10748,310394.78
Limhamn,113,317372,136.00469077407,2334,58331,61131,76878,55764,65262,261822.4
Malmö (veterinärkliniken),112,413933,375.698662061438,1102,76245,85821,96949,71918,82997,263675.64
Staffanstorp,110,238518,369.632256252852,645,42120,55573,49341,41609,49875,276217.75
Skåne mitt,8093,25609,251.248381619019,102,4648,3646,4933,5078,7304,274112.19
Viken,115,42782,152.521929502737,280,7825,6608,7749,8918,11682,306598.04
Höllviken,105,74569,147.402499187829,506,14855,12022,15040,14743,17907,306098.73
Trelleborg,102,46215,172.896821190507,267,8380,7335,9031,9370,12099,284222.49
Ystad,103,35643,226.276818869966,158,5564,5429,6138,6546,11966,284037.44
Jönköping,310,65736,102.750828929579,640,9979,15370,12906,11552,15929,293225.0
Billdal,8107,134415,79.4113173936635,1693,24367,24050,29148,25272,31578,317407.09
Örebro Analysen,218,139439,176.586583892832,790,23504,31493,27996,24440,32006,266169.99
Norra Halland,304,56273,155.51813686014,362,10698,8894,10357,11828,14495,335930.82
Frölunda,301,467917,171.851825092757,2723,69778,99698,117975,81024,99428,308446.47
Kungälv,306,65176,125.733526245369,518,12319,11281,13642,12521,15402,293931.68
