Feature,Transform
service,
ItemCode,
ItemDescription,
week_starting_monday,
Cluster,
SoldQuantity,
NoofUnits,
TotalNet,
QuantitySold(SalesTotal>0),1
Sum_FTE_Interpolated,
No of Sites,
TotalNetXVat,
Productive_time_per_site,
KEY,
PRICE,
Regular_Price_fwbw_max_6,1
YEAR,
MONTH,
WEEK,
negative_media_coverage_flag,
negative_media_coverage_flag_jan25,
negative_media_coverage_flag_mar24,
major_holiday_count,
non_major_holiday_count,
month_end_week,
unit_temp,
Seasonality_KEY_fwbw_6,1
Quarter_End,
YOY_SEASONALITY,
week_rank,
first_week,
third_week,
