ProductKey,SiteCode_count,SigSites_Sum
AAP130,55,13
HFE113,57,9
HFE112,49,9
MBAS0098,11,7
MBAS0097,15,7
HFE111,57,7
MBAS0085,5,4
OVR0001,23,4
VDO114,53,4
VDO115,40,4
AAP145,26,4
LANACY06,31,4
AEM111,40,4
TOX119,52,3
TII112,52,3
NSE111,55,3
LPROCHEM010,17,2
FEU112,47,2
FSAA3.0,6,2
LPROPRE001,7,2
AEM112,10,2
LANACY05,14,2
VDO112,57,2
CDF114,27,2
LPROHEM027,31,2
LPRONB003,7,2
SFP222,40,2
SBAS0332,53,2
TID114,11,2
TAN110,28,2
MOP111,48,2
MCO111,48,2
EEY237,4,2
EEY238,2,2
MPA117,27,2
MPA119,27,2
ECE131,43,2
AAP140,25,2
TII113,9,1
CANINE CRP,9,1
CRP,28,1
CREA,24,1
YGMSB0651,1,1
YSÃ–DP431,1,1
YGMSB0635,1,1
VDO113,56,1
MBAS0356,37,1
MBAS0275,14,1
MBAS0635,35,1
MBAS0382,7,1
EEX113,24,1
MPA112,4,1
MPA111,5,1
TII111,17,1
SBCS0124,47,1
SFR460,1,1
DIFF,3,1
SBAS0857,2,1
SBAS0331,39,1
NSE112,28,1
NIH113,15,1
NIH112,18,1
TCL111,55,1
LPRONB001,27,1
LPRONB002,27,1
MBAS0033,11,1
LPROURI003,41,1
MAN112,48,1
LPROPRE002,29,1
LPROSEN001,4,1
LPROBGA016,4,1
HCT,9,1
LANABA13,1,1
LANAB10,5,1
GERIPI,14,1
AEM114,12,1
YNHC006,1,1
ARCCRP,1,1
YVLAC053,1,0
AAP160,11,0
ACTHT2,1,0
AEM110,3,0
AEM115,7,0
AEY130,7,0
ALB,9,0
ALKP,10,0
YHSBC234,1,0
YHSBC151,1,0
YHSBC138,1,0
YHSBC116,1,0
YGMSB0663,1,0
YGMSB0662,1,0
YGMSB0626,1,0
YGMSB0625,1,0
YGBGC022,1,0
YGBGC004,1,0
YFRSC005,1,0
YAAB1363,1,0
XPF117,1,0
VCA112,55,0
VCA111,57,0
CSR112,10,0
LANAMA01,9,0
LANACY24,4,0
LANACY03,3,0
LANACY01,11,0
LANABA06,5,0
LANABA01,6,0
INDKRE,3,0
INDCRP,2,0
INDALT,3,0
INDALB,3,0
HISTU,19,0
HEM115,3,0
HEM114,3,0
HEM111,3,0
GLU,8,0
GERIPKLI,1,0
LPRONATT01,1,0
LPROLYTE04,12,0
LPROLEV002,3,0
LPROLEV001,1,0
LPROKOAG01,3,0
LPROHEM028,3,0
LPROCHEM015,1,0
LPROBGA026,2,0
LPROBGA025,3,0
LPROBGA020,3,0
LPROBGA018,4,0
LPROBGA015,1,0
LPROBAS01,1,0
LPOOVR014,1,0
LDIFF,2,0
LCY125,6,0
LPRONJU002,2,0
GCUPI,5,0
FSKKLARNA,1,0
FRUK,1,0
FRU,13,0
FPL2,6,0
FOL,1,0
FEU113,50,0
FCS113,28,0
FCS112,32,0
FCR113,42,0
FCR112,37,0
ETA113,1,0
ESA118,1,0
EMS112,6,0
LPRONB004,12,0
MBAS0253,4,0
MBAS0237,7,0
MBAS0198,2,0
MBAS0176,20,0
MBAS0047,5,0
MBAS0034,2,0
MBAS0020,6,0
MBAS0005,7,0
LSVA02,1,0
LPROURI005,10,0
LPROURI004,3,0
LPROURI002,7,0
LPROURI001,6,0
LPROSEN002,12,0
LPROPRE004,1,0
LPRONSAID6,1,0
MBAS0910,36,0
MBAS0909,34,0
MBAS0908,34,0
MBAS0907,29,0
MBAS0877,5,0
MBAS0854,8,0
MBAS0703,6,0
MBAS0618,1,0
MBAS0578,4,0
MBAS0577,4,0
MBAS0576,7,0
MBAS0575,8,0
MBAS0496,1,0
MBAS0495,3,0
MBAS0471,18,0
MBAS0409,32,0
MIKRO03,1,0
MBAS1028,4,0
EMS111,13,0
EEY263,6,0
EEY241,19,0
EEY231,53,0
EEY213,14,0
EEX112,4,0
ECE127,46,0
ECE122,1,0
ECE118,1,0
ECE114,2,0
ECE111,2,0
DXR111,2,0
MBAS0965,45,0
MBAS0911,13,0
OSA129,2,0
OSA112,1,0
OOT124,11,0
OOR117,2,0
OMO127,8,0
OJO188,2,0
OJO185,1,0
OJO120,1,0
OJO117,1,0
OGA115,3,0
OER114,15,0
OEF113,1,0
NIV110,20,0
NIH114,10,0
NIH111,11,0
MPA118,22,0
PK1,16,0
PFU123,43,0
PFU120,48,0
PFU116,3,0
PFU111,12,0
PB,2,0
OUR178,2,0
OUR174,3,0
OUR151,10,0
OUR134,1,0
OSK142,1,0
OSK141,8,0
OSK139,1,0
OSK138,4,0
OSK137,11,0
OSK117,20,0
RPH307,2,0
RPH305,1,0
RPH260,5,0
RPH245,5,0
RPH240,2,0
RPH230,5,0
RPH120,1,0
RPH113,1,0
PROG,2,0
PROFPS,2,0
PROFPHS,3,0
PROFPH,5,0
PROFP,3,0
PROFB,2,0
PRGERIPI,2,0
PRGCUPI,2,0
SBAS0497,1,0
SBAS0487,18,0
SBAS0441,8,0
SBAS0295,24,0
SBAS0138,8,0
SBAS0137,3,0
SBAS0130,9,0
SBAS0116,2,0
SBAS0097,1,0
SBAS0093,19,0
SBAS0092,18,0
SBAS0091,30,0
SBAS0090,17,0
SBAS0004,41,0
RWA111,1,0
RPH308,2,0
SBBS1781,23,0
SBBS1773,1,0
SBBS1772,3,0
SBBS1626,2,0
SBBS1625,26,0
SBBS1624,12,0
SBBS1620,3,0
SBBS1503,18,0
SBBS1491,16,0
SBBS0987,3,0
SBBS0894,1,0
SBBS0437,25,0
SBAS1143,1,0
SBAS1142,1,0
SBAS0996,1,0
SBAS0842,6,0
SBCS0112,14,0
SBCS0087,5,0
SBCS0045,24,0
