ID_Department,Cluster,New_Cluster
301,Clinics 0,Clinics
9,Clinics 0,Clinics
8103,Clinics 0,Clinics
8084,Clinics 0,Clinics
219,Clinics 0,Clinics
8086,Clinics 0,Clinics
8089,Clinics 0,Clinics
307,Clinics 0,Clinics
217,Clinics 0,Clinics
302,Clinics 0,Clinics
8092,Clinics 0,Clinics
8094,Clinics 1,Clinics
103,Clinics 1,Clinics
505,Clinics 1,Clinics
102,Clinics 1,Clinics
208,Clinics 1,Clinics
111,Clinics 1,Clinics
8091,Clinics 1,Clinics
402,Clinics 1,Clinics
8090,Clinics 1,Clinics
11,Clinics 1,Clinics
115,Clinics 1,Clinics
502,Clinics 1,Clinics
108,Clinics 1,Clinics
7,Clinics 1,Clinics
8093,Clinics 1,Clinics
8082,Clinics 1,Clinics
5,Clinics 1,Clinics
212,Clinics 1,Clinics
105,Clinics 1,Clinics
110,Clinics 2,Clinics
113,Clinics 2,Clinics
310,Clinics 2,Clinics
304,Clinics 2,Clinics
218,Clinics 2,Clinics
112,Clinics 2,Clinics
114,Clinics 2,Clinics
106,Clinics 2,Clinics
210,Clinics 2,Clinics
6,Clinics 2,Clinics
2,Clinics 2,Clinics
306,Clinics 2,Clinics
13,Clinics 2,Clinics
1,Clinics 2,Clinics
10,Clinics 2,Clinics
8,Clinics 2,Clinics
12,Clinics 2,Clinics
305,Sjukhus A,Hospital
200,Sjukhus A,Hospital
8080,Sjukhus A,Hospital
400,Sjukhus B,Hospital
109,Sjukhus B,Hospital
211,Sjukhus B,Hospital
506,Sjukhus B,Hospital
504,Sjukhus B,Hospital
101,Sjukhus C,Hospital
100,Sjukhus C,Hospital
201,Sjukhus Södran,Hospital
