Cluster,week_starting_monday,FTE_Interpolated,ID_Department
Clinics 2,2022-06-27 00:00:00,2.9,1
Clinics 2,2022-07-04 00:00:00,2.9,1
Clinics 2,2022-07-11 00:00:00,2.9,1
Clinics 2,2022-07-18 00:00:00,2.8,1
Clinics 2,2022-07-25 00:00:00,2.2,1
Clinics 2,2022-08-01 00:00:00,1.8,1
Clinics 2,2022-08-08 00:00:00,1.3,1
Clinics 2,2022-08-15 00:00:00,0.8,1
Clinics 2,2022-08-22 00:00:00,2.7,1
Clinics 2,2022-08-29 00:00:00,2.8,1
Clinics 2,2022-09-05 00:00:00,1.8,1
Clinics 2,2022-09-12 00:00:00,1.8,1
Clinics 2,2022-09-19 00:00:00,2.4,1
Clinics 2,2022-09-26 00:00:00,2.8,1
Clinics 2,2022-10-03 00:00:00,2.7,1
Clinics 2,2022-10-10 00:00:00,1.7,1
Clinics 2,2022-10-17 00:00:00,1.5,1
Clinics 2,2022-10-24 00:00:00,1.4,1
Clinics 2,2022-10-31 00:00:00,1.6,1
Clinics 2,2022-11-07 00:00:00,1.4,1
Clinics 2,2022-11-14 00:00:00,1.5,1
Clinics 2,2022-11-21 00:00:00,1.7,1
Clinics 2,2022-11-28 00:00:00,1.1,1
Clinics 2,2022-12-05 00:00:00,1.8,1
Clinics 2,2022-12-12 00:00:00,1.9,1
Clinics 2,2022-12-19 00:00:00,1.8,1
Clinics 2,2022-12-26 00:00:00,1.5,1
Clinics 2,2023-01-02 00:00:00,0.8,1
Clinics 2,2023-01-09 00:00:00,0.1,1
Clinics 2,2023-01-16 00:00:00,0.9,1
Clinics 2,2023-01-23 00:00:00,0.8,1
Clinics 2,2023-01-30 00:00:00,0.9,1
Clinics 2,2023-02-06 00:00:00,0.9,1
Clinics 2,2023-02-13 00:00:00,0.9,1
Clinics 2,2023-02-20 00:00:00,0.9,1
Clinics 2,2023-02-27 00:00:00,1.4,1
Clinics 2,2023-03-06 00:00:00,1.4,1
Clinics 2,2023-03-13 00:00:00,1.5,1
Clinics 2,2023-03-20 00:00:00,1.1,1
Clinics 2,2023-03-27 00:00:00,0.9,1
Clinics 2,2023-04-03 00:00:00,1.5,1
Clinics 2,2023-04-10 00:00:00,1.55,1
Clinics 2,2023-04-17 00:00:00,1.6,1
Clinics 2,2023-04-24 00:00:00,1.1,1
Clinics 2,2023-05-01 00:00:00,1.5,1
Clinics 2,2023-05-08 00:00:00,1.1,1
Clinics 2,2023-05-15 00:00:00,1.5,1
Clinics 2,2023-05-22 00:00:00,1.1,1
