ID_Department,Cluster,New_Cluster
8114,Clinics 0,Clinics
8113,Clinics 2,Clinics
8112,Clinics 1,Clinics
8111,Clinics 2,Clinics
8109,Clinics 2,Clinics
8107,Clinics 0,Clinics
8106,Clinics 1,Clinics
8105,Clinics 2,Clinics
8104,Clinics 2,Clinics
8103,Clinics 0,Clinics
8101,Clinics 1,Clinics
8100,Clinics 1,Clinics
8099,Sjukhus B,Hospital
8098,Sjukhus B,Hospital
8097,Clinics 1,Clinics
8095,Clinics 1,Clinics
8094,Clinics 1,Clinics
8093,Clinics 1,Clinics
8092,Clinics 0,Clinics
8091,Clinics 1,Clinics
8090,Clinics 1,Clinics
8089,Clinics 0,Clinics
8088,Clinics 2,Clinics
8086,Clinics 0,Clinics
8084,Clinics 0,Clinics
8082,Clinics 1,Clinics
8080,Sjukhus A,Hospital
5615,Clinics 1,Clinics
506,Sjukhus B,Hospital
505,Clinics 1,Clinics
504,Sjukhus B,Hospital
502,Clinics 1,Clinics
402,Clinics 1,Clinics
400,Sjukhus B,Hospital
310,Clinics 2,Clinics
307,Clinics 0,Clinics
306,Clinics 2,Clinics
305,Sjukhus A,Hospital
304,Clinics 2,Clinics
302,Clinics 0,Clinics
301,Clinics 0,Clinics
219,Clinics 0,Clinics
218,Clinics 2,Clinics
217,Clinics 0,Clinics
212,Clinics 1,Clinics
211,Sjukhus B,Hospital
210,Clinics 2,Clinics
208,Clinics 1,Clinics
201,Sjukhus Södran,Hospital
200,Sjukhus A,Hospital
115,Clinics 1,Clinics
114,Clinics 1,Clinics
113,Clinics 2,Clinics
112,Clinics 2,Clinics
111,Clinics 1,Clinics
110,Clinics 2,Clinics
109,Sjukhus B,Hospital
108,Clinics 1,Clinics
106,Clinics 2,Clinics
105,Clinics 1,Clinics
103,Clinics 1,Clinics
102,Clinics 1,Clinics
101,Sjukhus C,Hospital
100,Sjukhus C,Hospital
13,Clinics 2,Clinics
12,Clinics 2,Clinics
11,Clinics 1,Clinics
10,Clinics 2,Clinics
9,Clinics 0,Clinics
8,Clinics 2,Clinics
7,Clinics 1,Clinics
6,Clinics 2,Clinics
5,Clinics 2,Clinics
2,Clinics 2,Clinics
1,Clinics 2,Clinics
