DATE,MONTH,YEAR
03-05-20,4,2020
31-05-20,5,2020
05-07-20,6,2020
02-08-20,7,2020
30-08-20,8,2020
04-10-20,9,2020
01-11-20,10,2020
29-11-20,11,2020
03-01-21,12,2020
31-01-21,1,2021
28-02-21,2,2021
04-04-21,3,2021
02-05-21,4,2021
30-05-21,5,2021
04-07-21,6,2021
01-08-21,7,2021
29-08-21,8,2021
03-10-21,9,2021
31-10-21,10,2021
28-11-21,11,2021
02-01-22,12,2021
30-01-22,1,2022
27-02-22,2,2022
03-04-22,3,2022
01-05-22,4,2022
29-05-22,5,2022
03-07-22,6,2022
31-07-22,7,2022
28-08-22,8,2022
02-10-22,9,2022
30-10-22,10,2022
27-11-22,11,2022
01-01-23,12,2022
29-01-23,1,2023
26-02-23,2,2023
02-04-23,3,2023
30-04-23,4,2023
