ProductKey,SiteCode_count,SigSites_Sum
AAP130,54,12
HFE111,57,8
HFE113,56,7
MBAS0097,13,6
MBAS0098,11,6
VDO115,32,5
AEM111,35,4
HFE112,36,4
MBAS0085,4,4
TOX119,43,4
OVR0001,20,3
AEM112,9,3
LANACY06,23,3
VDO114,43,3
MOP111,44,3
VDO112,56,3
LPRONB003,6,2
AAP145,23,2
MBAS0382,6,2
LPROCHEM010,15,2
LPROHEM027,19,2
DUS112,14,2
MAN112,44,2
DXR100,3,2
NSE111,51,2
TII112,48,2
VDO113,55,2
FEU112,40,1
NIH113,13,1
LPROBGA016,4,1
MCO111,42,1
FSAA3.0,4,1
LPROURI005,7,1
GERIPI,13,1
SBAS0331,30,1
LPROBAS01,1,1
LANABA13,1,1
AEM114,9,1
EEY237,4,1
EEY238,2,1
NSE112,28,1
DUS111,27,1
LPROPRE001,5,1
CSR411,5,1
MPA111,5,1
AAP120,16,1
AAP140,23,1
SBBS0437,16,1
MBAS0020,4,1
LPROLYTE04,7,1
LPROPRE002,19,1
LPRONB001,13,1
ECE131,31,1
ESA118,1,1
SBBS1773,1,1
YGMSB0635,1,1
TAN110,14,1
TAN115,2,1
TAV115,5,1
TCL111,55,1
TID114,8,1
YGMSB0651,1,1
TII113,5,1
NIH112,14,1
LPROSEN002,7,1
MBAS0635,24,1
AAP115,26,1
YSÖDP431,1,1
ARCCRP,1,1
CANINE CRP,8,1
CRP,20,1
YMMAC024,1,0
ALKP,8,0
CSF212,7,0
CSF310,6,0
CSR112,10,0
CSR212,8,0
CSR310,6,0
CSR311,4,0
CYTU,6,0
DCT111,4,0
DCT112,8,0
DIFF,2,0
DMR115,2,0
DUS113,9,0
DUS121,9,0
DUS122,5,0
DXR110,5,0
DXR111,2,0
DXR114,2,0
ECE122,1,0
ECE127,34,0
EEX112,4,0
EEX113,13,0
EEY213,10,0
EEY231,46,0
EEY241,17,0
EEY263,5,0
EMS112,4,0
EUICRP,1,0
FCR112,31,0
FCR113,35,0
FCS112,26,0
FCS113,21,0
FEU113,45,0
FPL,2,0
FPL2,4,0
FRU,5,0
FRUK,1,0
GCUPI,1,0
GLU,6,0
HEM111,3,0
HEM114,3,0
HEM115,3,0
HISTU,12,0
INDALB,3,0
INDALT,3,0
INDCRP,2,0
INDKRE,3,0
LANAB10,3,0
LANABA01,5,0
LANABA03,1,0
LANABA06,4,0
LANACY01,7,0
LANACY01A,1,0
LANACY03,3,0
LANACY05,6,0
LANACY24,4,0
LANAMA01,6,0
LCY125,5,0
LDIFF,2,0
LPOOVR014,1,0
LPROBGA018,2,0
LPROBGA020,2,0
LPROBGA025,3,0
LPROBGA026,2,0
LPROCHEM015,1,0
LPROHEM028,2,0
LPROKOAG01,2,0
LPROLEV001,1,0
LPROLEV002,2,0
LPRONATT01,1,0
LPRONB002,13,0
EMS111,10,0
LPRONB004,4,0
LPRONJU002,1,0
LPROPRE004,1,0
LPROSEN001,1,0
LPROURI001,5,0
LPROURI002,6,0
LPROURI003,35,0
LPROURI004,2,0
LROPNATT02,1,0
LSVA02,1,0
MAN111,13,0
MBAS0005,5,0
MBAS0033,10,0
MBAS0176,16,0
MBAS0198,1,0
MBAS0237,5,0
MBAS0253,3,0
MBAS0275,10,0
MBAS0356,30,0
MBAS0409,23,0
MBAS0471,15,0
MBAS0495,1,0
MBAS0575,3,0
MBAS0576,4,0
MBAS0577,2,0
MBAS0578,3,0
MBAS0618,1,0
MBAS0703,4,0
MBAS0842,4,0
MBAS0854,6,0
MBAS0877,5,0
MBAS0907,18,0
MBAS0908,20,0
MBAS0909,21,0
MBAS0910,23,0
MBAS0911,7,0
MBAS0965,26,0
MBAS1028,3,0
MIKRO03,1,0
MPA112,4,0
MPA117,1,0
MPA118,1,0
NIH111,7,0
NIH114,7,0
NIV110,15,0
OER114,15,0
OGA115,1,0
OJO117,1,0
OJO185,1,0
OJO188,2,0
OMO127,4,0
OOR117,2,0
OOT124,6,0
OSK117,17,0
OSK137,7,0
OSK138,2,0
OSK141,1,0
OUR134,1,0
OUR151,8,0
OUR174,2,0
PB,2,0
PFU111,7,0
PFU116,3,0
PFU120,38,0
PFU123,37,0
PK1,12,0
PRGCUPI,2,0
PRGERIPI,2,0
PROFB,1,0
PROFP,2,0
PROFPH,3,0
PROFPHS,3,0
PROFPS,1,0
PROG,1,0
RPH113,1,0
RPH120,1,0
RPH230,4,0
RPH240,2,0
RPH245,5,0
RPH260,4,0
RPH305,1,0
RPH307,2,0
RPH308,2,0
SBAS0004,25,0
SBAS0090,11,0
SBAS0091,22,0
SBAS0092,10,0
SBAS0093,13,0
SBAS0116,2,0
SBAS0130,5,0
SBAS0136,2,0
SBAS0137,2,0
SBAS0138,5,0
SBAS0295,15,0
SBAS0332,50,0
SBAS0441,2,0
SBAS0487,8,0
SBAS0497,1,0
SBAS0842,3,0
SBBS1491,8,0
SBBS1503,9,0
SBBS1624,4,0
