Service,big_cluster,New_cluster,Significant ?,TotalNet
Accessories,Clinics,Clinics_CH,1,4419445
Accessories,Hospital,Hospital_CH,0,9443609
Admin,Clinics,Clinics_CH,1,62806876
Admin,Hospital,Hospital_CH,1,75893377
Anaesthesia,Hospital,Hospital_CH,1,158300492
Anaesthesia,Clinics,Clinics_CH,1,128590408
Consult,Hospital,Hospital_CH,1,408446291
Consult,Clinics,Clinics,1,383403979
Consumables,Hospital,Hospital,1,341248
Dental,Clinics,Clinics_CH,1,271015335
Dental,Hospital,Hospital_CH,1,60852944
Euthansaia/Cremation,Hospital,Hospital,1,11642666
Euthansaia/Cremation,Clinics,Clinics,1,42691795
External,Hospital,Hospital_CH,1,13627118
External,Clinics,Clinics,1,47247114
General,Clinics,Clinics_CH,1,197687
General,Hospital,Hospital_CH,0,274029
Healthcare,Hospital,Hospital_CH,1,5512889
Healthcare,Clinics,Clinics_CH,1,13302477
Hospitalisation,Hospital,Hospital_CH,1,168032423
Hospitalisation,Clinics,Clinics,1,16714723
Imaging,Clinics,Clinics_CH,1,107484070
Imaging,Hospital,Hospital_CH,1,299886037
Internal,Hospital,Hospital_CH,1,127034501
Internal,Clinics,Clinics_CH,1,144871667
Lifestage,Clinics,Clinics,1,21826634
Lifestage,Hospital,Hospital_CH,1,7813368
Medicin,Clinics,Clinics_CH,1,33156061
Medicin,Hospital,Hospital_CH,1,27801394
N/D,Hospital,Hospital_CH,1,774691
N/D,Clinics,Clinics_CH,1,1963487
Nutraceuticals,Hospital,Hospital_CH,1,5097871
Nutraceuticals,Clinics,Clinics_CH,1,7039425
Other,Clinics,Clinics_CH,1,120895928
Other,Hospital,Hospital_CH,1,78959503
Prescription,Hospital,Hospital_CH,1,57371246
Prescription,Clinics,Clinics_CH,1,113873077
Surgery,Hospital,Hospital_CH,1,182978291
Surgery,Clinics,Clinics_CH,1,125558324
Toys,Hospital,Hospital_CH,1,1285165
Toys,Clinics,Clinics_CH,1,1492841
Vacc,Clinics,Clinics_CH,1,136422453
Vacc,Hospital,Hospital_CH,1,22179096
